profile_id,listing_id,view_time,index,num_beds,price,property_type,planning_area,subzone,name_of_nearest_mrt,num_baths,tenure,built_year,size_sqft,per_price
0,243265,4,0,"6.0,7.0,5.0,4.0,8.0",,"condo,hdb",,,,,,"1990,2029.0","0,2105","1646,9547"
0,844619,2,0,"6.0,7.0,5.0,4.0,8.0",,"condo,hdb",,,,,,"1990,2029.0","0,2105","1646,9547"
0,887175,5,0,"6.0,7.0,5.0,4.0,8.0",,"condo,hdb",,,,,,"1990,2029.0","0,2105","1646,9547"
0,761559,2,0,"6.0,7.0,5.0,4.0,8.0",,"condo,hdb",,,,,,"1990,2029.0","0,2105","1646,9547"
0,211308,2,0,"6.0,7.0,5.0,4.0,8.0",,"condo,hdb",,,,,,"1990,2029.0","0,2105","1646,9547"
0,777580,3,0,"6.0,7.0,5.0,4.0,8.0",,"condo,hdb",,,,,,"1990,2029.0","0,2105","1646,9547"
0,190211,8,0,"6.0,7.0,5.0,4.0,8.0",,"condo,hdb",,,,,,"1990,2029.0","0,2105","1646,9547"
0,524387,10,0,"6.0,7.0,5.0,4.0,8.0",,"condo,hdb",,,,,,"1990,2029.0","0,2105","1646,9547"
0,867420,3,0,"6.0,7.0,5.0,4.0,8.0",,"condo,hdb",,,,,,"1990,2029.0","0,2105","1646,9547"
0,967997,4,0,"6.0,7.0,5.0,4.0,8.0",,"condo,hdb",,,,,,"1990,2029.0","0,2105","1646,9547"
0,802295,10,0,"6.0,7.0,5.0,4.0,8.0",,"condo,hdb",,,,,,"1990,2029.0","0,2105","1646,9547"
0,182886,6,0,"6.0,7.0,5.0,4.0,8.0",,"condo,hdb",,,,,,"1990,2029.0","0,2105","1646,9547"
0,397248,4,0,"6.0,7.0,5.0,4.0,8.0",,"condo,hdb",,,,,,"1990,2029.0","0,2105","1646,9547"
0,350347,3,0,"6.0,7.0,5.0,4.0,8.0",,"condo,hdb",,,,,,"1990,2029.0","0,2105","1646,9547"
0,593601,8,0,"6.0,7.0,5.0,4.0,8.0",,"condo,hdb",,,,,,"1990,2029.0","0,2105","1646,9547"
1,336888,4,0,"6.0,5.0","0,31709402","condo,apartment",,,,,,,,
1,675624,10,0,"6.0,5.0","0,31709402","condo,apartment",,,,,,,,
1,286937,8,0,"6.0,5.0","0,31709402","condo,apartment",,,,,,,,
1,495208,5,0,"6.0,5.0","0,31709402","condo,apartment",,,,,,,,
